task,instruction,response,quality
node classification,"For the CORA dataset, I need a Graph Convolutional Network (GCN) model aimed at node classification tasks. The model should achieve at least 85% accuracy. Pay special attention to overfitting, and ensure the training time does not exceed 2 hours on a standard GPU.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""graph machine learning"",
        ""downstream_task"": ""node classification"",
        ""application_domain"": """",
        ""description"": ""Build a Graph Convolutional Network (GCN) model for node classification tasks on the CORA dataset, ensuring the model achieves at least 85% accuracy. Overfitting should be carefully managed, and the training time must not exceed 2 hours on a standard GPU."",
        ""performance_metrics"": [
            {
                ""name"": ""accuracy"",
                ""value"": 0.85
            }
        ],
        ""complexity_metrics"": [
            {
                ""name"": ""training time"",
                ""value"": 2,
                ""unit"": ""hours""
            }
        ]
    },
    ""dataset"": [
        {
            ""name"": ""CORA"",
            ""modality"": [
                ""graph""
            ],
            ""target_variables"": [],
            ""specification"": null,
            ""description"": ""The CORA dataset for graph machine learning tasks, specifically for node classification."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": ""Graph Convolutional Network"",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A Graph Convolutional Network (GCN) model designed for node classification tasks on the CORA dataset.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": ""standard GPU"",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The instruction was parsed to fit the template's categories, including specifying the 'build' intent for model construction, the problem area, dataset details, and model specifics. The user's requirement for managing overfitting and the training time constraint are captured under 'problem' and 'model' sections. This structured format captures all essential elements of the instruction, supporting the objective of building a GCN model for the CORA dataset within the specified constraints."",
        ""score"": 1.0
    }
}",2
node classification,We're focusing on the PubMed dataset. Develop a GraphSAGE model tailored for node classification with an emphasis on generalization across similar unseen datasets. Ensure the model is lightweight and can be deployed in a real-time setting with inference times below 50ms per node.,"{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""high""
    },
    ""problem"": {
        ""area"": ""graph machine learning"",
        ""downstream_task"": ""node classification"",
        ""application_domain"": ""healthcare"",
        ""description"": ""Develop a GraphSAGE model tailored for node classification with an emphasis on generalization across similar unseen datasets. Ensure the model is lightweight and can be deployed in a real-time setting."",
        ""performance_metrics"": [],
        ""complexity_metrics"": [
            {
                ""name"": ""inference time"",
                ""value"": 0.05,
                ""unit"": ""seconds""
            }
        ]
    },
    ""dataset"": [
        {
            ""name"": ""PubMed"",
            ""modality"": [""graph""],
            ""target_variables"": [],
            ""specification"": null,
            ""description"": ""Focusing on the PubMed dataset for developing a node classification model."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": ""GraphSAGE"",
            ""family"": """",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A lightweight GraphSAGE model for real-time node classification in the healthcare domain, capable of generalizing across similar unseen datasets.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": ""cloud"",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The JSON accurately captures the user's instructions based on the provided template and schema. While performance metrics were not specified, the emphasis on a lightweight model for real-time deployment is captured under the complexity metrics. The focus on the PubMed dataset, specific to graph data modality, aligns with the instruction. The intent and expertise level indicate a clear direction towards building a solution in the healthcare application domain, utilizing graph machine learning for node classification."",
        ""score"": 0.95
    }
}",2
node classification,"Implement a node classification model using the NELL dataset with a Hypergraph Neural Network. The model should be robust against noise and capable of dealing with the dataset's multi-relational nature. Expected accuracy is over 85%, and please document the model's sensitivity to hyperparameter changes.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""high""
    },
    ""problem"": {
        ""area"": ""graph machine learning"",
        ""downstream_task"": ""node classification"",
        ""application_domain"": ""academic"",
        ""description"": ""Implement a node classification model using the NELL dataset with a Hypergraph Neural Network. The model should be robust against noise and capable of dealing with the dataset's multi-relational nature."",
        ""performance_metrics"": [
            {
                ""name"": ""accuracy"",
                ""value"": 0.85
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""NELL"",
            ""modality"": [""graph""],
            ""target_variables"": [],
            ""specification"": null,
            ""description"": ""A multi-relational graph dataset for node classification."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": ""Hypergraph Neural Network"",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A neural network model designed for node classification on hypergraphs, specifically tailored for the NELL dataset.""
        }
    ],
    ""knowledge"": [
        ""The NELL dataset's multi-relational nature requires a model capable of handling complex graph structures."",
        ""Model robustness against noise is critical for achieving high accuracy.""
    ],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": """"
    },
    ""confidence"": {
        ""rationale"": ""The JSON response is tailored to the provided instruction, following the schema and template requirements closely. Information regarding the user's intent, problem area, dataset, and model is directly derived from the instruction, ensuring relevance and accuracy. The confidence score is high due to the clear instruction and a direct mapping to the template structure. However, details like the specific features of the Hypergraph Neural Network or the precise preprocessing steps for the NELL dataset are not fully described, as the instruction didn't provide these specifics."",
        ""score"": 0.95
    }
}",2
node classification,"We need a node classification model for the Coauthorship Science dataset, employing a Hierarchical Graph Neural Network (HGNN). The goal is to classify authors based on their research domains.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""graph machine learning"",
        ""downstream_task"": ""node classification"",
        ""application_domain"": ""academic coauthorship"",
        ""description"": ""We need a node classification model for the Coauthorship Science dataset, employing a Hierarchical Graph Neural Network (HGNN). The goal is to classify authors based on their research domains."",
        ""performance_metrics"": [],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""Coauthorship Science"",
            ""modality"": [""graph""],
            ""target_variables"": [""research domains""],
            ""specification"": null,
            ""description"": ""A dataset representing coauthorship networks, where nodes are authors and edges represent coauthorship relations. The task is to classify authors based on their research domains."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": ""Hierarchical Graph Neural Network"",
            ""family"": ""Graph Neural Networks"",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A Hierarchical Graph Neural Network model suitable for node classification tasks on graph-structured data. Specifically designed for the Coauthorship Science dataset to classify authors by research domain.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The JSON structure has been accurately filled based on the provided instruction, following the given template and schema. The 'user' section reflects the intent to build a model and an assumed medium level of expertise based on the specific request. 'Problem', 'dataset', and 'model' sections are filled according to the task details. Missing details, such as performance and complexity metrics, are left empty as they were not specified in the instruction. This structured JSON is designed to guide the model building process specifically for the described graph machine learning task."",
        ""score"": 0.9
    }
}",2
node classification,"For the Enron Email dataset, implement a node classification model with a Relational Graph Convolutional Network (RGCN). The aim is to categorize employees based on their communication patterns. Efficiency and scalability are key, with a target to process thousands of nodes without significant latency.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""graph machine learning"",
        ""downstream_task"": ""node classification"",
        ""application_domain"": ""communication"",
        ""description"": ""For the Enron Email dataset, implement a node classification model with a Relational Graph Convolutional Network (RGCN). The aim is to categorize employees based on their communication patterns. Efficiency and scalability are key, with a target to process thousands of nodes without significant latency."",
        ""performance_metrics"": [],
        ""complexity_metrics"": [
            {
                ""name"": ""latency"",
                ""value"": null
            }
        ]
    },
    ""dataset"": [
        {
            ""name"": ""Enron Email"",
            ""modality"": [""text"", ""graph""],
            ""target_variables"": [],
            ""specification"": null,
            ""description"": ""The Enron Email dataset contains communication patterns among Enron employees. It is intended to be used for categorizing employees based on these patterns."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": ""Relational Graph Convolutional Network (RGCN)"",
            ""family"": ""neural networks"",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A Relational Graph Convolutional Network (RGCN) model to be implemented for node classification on the Enron Email dataset, aiming for efficiency and scalability.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The JSON structure provided follows the given instruction closely, ensuring that each segment of the instruction is reflected in the appropriate sections of the template. No specific performance metrics were mentioned in the instruction, hence that section remains empty. Latency is emphasized as a key concern but without a specified target value, so it is included as a complexity metric with an unspecified value to indicate the focus on minimizing latency. The user's intent to build a model and their intermediate expertise level are inferred from the nature of the task described."",
        ""score"": 0.95
    }
}",2
node classification,Employ the Mouse Brain Connectivity dataset to create a node classification model using a Graph Wavelet Neural Network (GWNN). The focus is on identifying different neuron types with high precision and recall. The model should also be able to handle the complex spatial relationships inherent in brain connectivity data.,"{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""high""
    },
    ""problem"": {
        ""area"": ""graph machine learning"",
        ""downstream_task"": ""node classification"",
        ""application_domain"": ""biological sciences"",
        ""description"": ""Employ the Mouse Brain Connectivity dataset to create a node classification model using a Graph Wavelet Neural Network (GWNN). The focus is on identifying different neuron types with high precision and recall. The model should also be able to handle the complex spatial relationships inherent in brain connectivity data."",
        ""performance_metrics"": [
            {
                ""name"": ""precision"",
                ""value"": null
            },
            {
                ""name"": ""recall"",
                ""value"": null
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""Mouse Brain Connectivity"",
            ""modality"": [""graph""],
            ""target_variables"": [""neuron types""],
            ""specification"": null,
            ""description"": ""A dataset containing brain connectivity data for mouse brains, used for identifying different neuron types."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": ""Graph Wavelet Neural Network"",
            ""family"": ""graph convolutional networks"",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A model leveraging graph wavelets to handle the complex spatial relationships in brain connectivity data for neuron type classification.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The information provided follows the user's instruction, focusing on building a node classification model using GWNN on the Mouse Brain Connectivity dataset for identifying neuron types. The instruction's main points are included, such as dataset details, model specifics, and the emphasis on precision and recall as performance metrics."",
        ""score"": 0.9
    }
}",2
node classification,Utilize the YouTube Algebric Connectivity dataset for a node classification task using a Significance Graph Neural Network (SGNN). The model must distinguish between different types of content creators with at least 80% accuracy. Highlight the model's ability to handle sparse data.,"{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""graph machine learning"",
        ""downstream_task"": ""node classification"",
        ""application_domain"": ""social media analysis"",
        ""description"": ""Utilize the YouTube Algebric Connectivity dataset for a node classification task using a Significance Graph Neural Network (SGNN). The model must distinguish between different types of content creators with at least 80% accuracy. Highlight the model's ability to handle sparse data."",
        ""performance_metrics"": [
            {
                ""name"": ""accuracy"",
                ""value"": 0.8
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""YouTube Algebric Connectivity"",
            ""modality"": [""graph""],
            ""target_variables"": [],
            ""specification"": null,
            ""description"": ""Dataset for a node classification task focusing on YouTube content creators."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": ""Significance Graph Neural Network (SGNN)"",
            ""family"": ""graph neural networks"",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A neural network model designed specifically for graph data, aimed at distinguishing different types of YouTube content creators.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The parsed JSON follows the structure of the provided template and the instruction prompt. It accurately represents the task of building a model using the specified dataset and model type, along with the required performance metric. There is no specific information about the target device, deployment endpoint, or inference engines, which aligns with the instruction's lack of detail in these areas."",
        ""score"": 0.95
    }
}",2
node classification,"For our next project on the Amazon Co-purchase Graph, I want a Spectral Convolution on Graphs (ChebNet) model. This node classification task should not only be accurate but also scalable, as the dataset is massive. Aim for 90% accuracy, and the model must handle dynamic updates efficiently.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""graph machine learning"",
        ""downstream_task"": ""node classification"",
        ""application_domain"": ""e-commerce"",
        ""description"": ""For our next project on the Amazon Co-purchase Graph, I want a Spectral Convolution on Graphs (ChebNet) model. This node classification task should not only be accurate but also scalable, as the dataset is massive. The model must handle dynamic updates efficiently."",
        ""performance_metrics"": [
            {
                ""name"": ""accuracy"",
                ""value"": 0.9
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""Amazon Co-purchase Graph"",
            ""modality"": [""graph""],
            ""target_variables"": [],
            ""specification"": null,
            ""description"": ""A massive dataset representing co-purchase relationships on Amazon."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": ""ChebNet"",
            ""family"": ""Spectral Graph Convolution"",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A model for node classification on the Amazon Co-purchase Graph, designed to be scalable and efficiently handle dynamic updates.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The instruction explicitly calls for the development of a ChebNet model for a node classification task on the Amazon Co-purchase Graph, targeting a performance metric of 90% accuracy. It emphasizes the need for scalability and efficiency in handling dynamic updates, which is critical given the dataset's size. No specific preprocessing, augmentation, visualization steps, or deployment details were provided, which is why those fields remain empty or unspecified. The user's intent and expertise level are inferred from the task's nature and specificity."",
        ""score"": 0.95
    }
}",2
node classification,"For the High School Dynamic Contact Network, develop a Temporal Graph Network (TGN) for node classification, identifying key actors within social interactions. The model should efficiently handle the dynamic nature of the dataset and provide insights into changing social structures over time.","{
  ""user"": {
    ""intent"": ""build"",
    ""expertise"": ""medium""
  },
  ""problem"": {
    ""area"": ""graph machine learning"",
    ""downstream_task"": ""node classification"",
    ""application_domain"": ""social network analysis"",
    ""description"": ""Develop a Temporal Graph Network (TGN) for identifying key actors within social interactions in a High School Dynamic Contact Network. The model should handle the dynamic nature of the dataset and provide insights into changing social structures over time."",
    ""performance_metrics"": [],
    ""complexity_metrics"": []
  },
  ""dataset"": [
    {
      ""name"": ""High School Dynamic Contact Network"",
      ""modality"": [""graph""],
      ""target_variables"": [],
      ""specification"": null,
      ""description"": ""A dynamic dataset representing social interactions within a high school, capturing the evolving nature of contacts over time."",
      ""preprocessing"": [],
      ""augmentation"": [],
      ""visualization"": [],
      ""source"": ""direct-search""
    }
  ],
  ""model"": [
    {
      ""name"": ""Temporal Graph Network (TGN)"",
      ""family"": """",
      ""type"": ""neural networks"",
      ""specification"": null,
      ""description"": ""A neural network model designed to efficiently handle dynamic graph data, aimed at classifying nodes to identify key actors within a high school's social network.""
    }
  ],
  ""knowledge"": [],
  ""service"": {
    ""feature_engineering"": [],
    ""target_device"": """",
    ""deployment_endpoint"": """",
    ""inference_engine"": [],
    ""demonstration"": null
  },
  ""confidence"": {
    ""rationale"": ""The instruction was parsed following the given templates closely, aligning with the user's intent to build a model for node classification within a dynamic social network dataset. Specific details such as the model type (TGN) and dataset name were directly derived from the instruction, ensuring alignment with the user's requirements. The absence of specified performance and complexity metrics, as well as detailed preprocessing steps, reflects the generic nature of the instruction, which did not provide these details. The selection of 'infer-search' as the dataset source acknowledges that the user has not provided a specific source, suggesting a need for further research or clarification."",
    ""score"": 0.9
  }
}",2
node classification,"For the DBLP citation network, I'm interested in a model that uses Edge Convolution (EdgeConv) for node classification. The model should accurately categorize research papers into their respective fields of study, aiming for an F1 score of at least 0.85. Considerations should be made for computational efficiency.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""graph machine learning"",
        ""downstream_task"": ""node classification"",
        ""application_domain"": ""academic research"",
        ""description"": ""Develop a model using Edge Convolution (EdgeConv) for classifying research papers into their respective fields of study based on the DBLP citation network."",
        ""performance_metrics"": [
            {
                ""name"": ""F1 score"",
                ""value"": 0.85
            }
        ],
        ""complexity_metrics"": [
            {
                ""name"": ""inference time"",
                ""value"": null
            }
        ]
    },
    ""dataset"": [
        {
            ""name"": ""DBLP citation network"",
            ""modality"": [""graph""],
            ""target_variables"": [""fields of study""],
            ""specification"": null,
            ""description"": ""A network dataset where nodes represent research papers and edges represent citations. The goal is to classify papers into their fields of study."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": ""EdgeConv"",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A graph neural network model utilizing Edge Convolution (EdgeConv) for node classification in the DBLP citation network.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": """"
    },
    ""confidence"": {
        ""rationale"": ""The information provided directly addresses the user's request for a model development task with specific performance metrics and computational efficiency considerations. The user's level of expertise suggests an understanding of the complexities involved in such a task. The chosen model and dataset are aligned with the instruction's domain and task specifics. Although the computational efficiency metric is mentioned, specific values or thresholds were not provided, implying a general goal of optimization without rigid constraints."",
        ""score"": 0.9
    }
}",2
