task,instruction,response,quality
text classification,I want you to build a high-quality model for text review classification using IMDB datasets to classify a movie review text into either positive or negative sentiment. I want the classification test accuracy at least 95%.,"{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""natural language processing"",
        ""downstream_task"": ""text classification"",
        ""application_domain"": ""movie reviews sentiment analysis"",
        ""description"": ""Build a high-quality model for text review classification using IMDB datasets to classify a movie review text into either positive or negative sentiment."",
        ""performance_metrics"": [
            {
                ""name"": ""accuracy"",
                ""value"": 0.95
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""IMDB datasets"",
            ""modality"": [
                ""text""
            ],
            ""target_variables"": [],
            ""specification"": null,
            ""description"": ""IMDB datasets for movie review text classification into positive or negative sentiment."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": """",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A model to classify movie review texts into positive or negative sentiment with at least 95% test accuracy.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The instruction provided a clear task of building a text classification model specifically for sentiment analysis of movie reviews using the IMDB datasets, aiming for a test accuracy of at least 95%. The instruction did not specify the user's expertise level in-depth, but the request suggests a medium level of understanding of model development requirements. The task is explicitly in the domain of natural language processing, with performance metrics clearly stated. There is no explicit mention of dataset specifications, model specifications, complexity metrics, or deployment details, hence these fields are filled accordingly with assumptions or left empty as appropriate."",
        ""score"": 0.9
    }
}",2
text classification,"You are solving this machine learning tasks of text classification: 
The dataset presented here (the Airline reviews) comprises customer feedback for British Airways. Here, we provide the textual reviews. Your task is to predict the corresponding rating in the range of {1, ..., 10} given the reviews in the test set. The evaluation metric is root mean squared error (RMSE). 
Now train a language model to get a good performance.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""natural language processing"",
        ""downstream_task"": ""text classification"",
        ""application_domain"": ""customer feedback analysis"",
        ""description"": ""Predict the rating (1 to 10) for airline reviews based on the textual content of the reviews. The dataset comprises customer feedback for British Airways."",
        ""performance_metrics"": [
            {
                ""name"": ""RMSE"",
                ""value"": null
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""Airline reviews"",
            ""modality"": [""text""],
            ""target_variables"": [""rating""],
            ""specification"": null,
            ""description"": ""The dataset contains textual reviews from customers of British Airways. The task is to predict the corresponding rating ranging from 1 to 10."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""user-upload""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": """",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""Train a language model to classify text reviews into corresponding ratings from 1 to 10.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The provided instruction was clear about the task of predicting a rating from textual reviews using a language model, within the context of natural language processing. It specifically mentioned the need for a model that can be evaluated using RMSE as a performance metric. The dataset's details, such as its name and the modality of the data, were inferred based on the description. The intent 'build' was selected since the user is directed to construct a model, and the expertise level was assumed to be 'medium' given the nature of the task. The absence of specific model names or configurations suggests a generic approach to model selection, thus a language model within the 'neural networks' type is suggested."",
        ""score"": 0.9
    }
}",2
text classification,"You are solving this machine learning tasks of text classification: 
The dataset presented here (the BoolQ dataset) comprises a series of passage-question pairs. Given a passage and a question, your task is to identify whether the question can be inferred from the passage, with 0 as False and 1 as True. The evaluation metric is accuracy.
Now train a language model to get a good performance. ","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""natural language processing"",
        ""downstream_task"": ""text classification"",
        ""application_domain"": ""question answering"",
        ""description"": ""The task involves classifying whether a question can be inferred from a given passage using the BoolQ dataset, with binary classification (0: False, 1: True)."",
        ""performance_metrics"": [
            {
                ""name"": ""accuracy"",
                ""value"": null
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""BoolQ dataset"",
            ""modality"": [""text""],
            ""target_variables"": [],
            ""specification"": null,
            ""description"": ""The dataset comprises a series of passage-question pairs for the task of determining if the question can be inferred from the passage."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""user-upload""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": """",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A language model to be trained for classifying passage-question pairs into binary outcomes (True or False).""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The JSON structure has been filled according to the provided instructions, mapping directly from the task's requirements. The choice of 'neural networks' for the model type reflects the common approach for such NLP classification tasks. Some fields are left blank or null where the instruction doesn't specify details (e.g., model name, target device). The user's intent is interpreted as 'build' given the task of training a model, with 'medium' expertise assumed based on the task's complexity. The absence of specific performance metric values or complex metric requirements is due to the instruction's focus on model training without detailed optimization targets."",
        ""score"": 0.9
    }
}",2
text classification,"You are solving this machine learning tasks of text classification: 
The dataset presented here (the ChatGPT prompt dataset) comprises a series of sentences. Given the text, your task is to predict the label of it in range of {0, 1, ..., 7}. The evaluation metric is accuracy.
Now train a language model to get a good performance. ","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""natural language processing"",
        ""downstream_task"": ""text classification"",
        ""application_domain"": ""generic"",
        ""description"": ""You are solving this machine learning tasks of text classification: The dataset presented here (the ChatGPT prompt dataset) comprises a series of sentences. Given the text, your task is to predict the label of it in range of {0, 1, ..., 7}."",
        ""performance_metrics"": [
            {
                ""name"": ""accuracy"",
                ""value"": null
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""ChatGPT prompt dataset"",
            ""modality"": [""text""],
            ""target_variables"": [],
            ""specification"": null,
            ""description"": ""A series of sentences for text classification, where the task is to predict the label of the text in the range of {0, 1, ..., 7}."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""user-upload""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": """",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""Train a language model to classify texts into one of eight categories {0, 1, ..., 7}.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The instruction prompt is directly about building a model for text classification within the domain of natural language processing. The user's task involves using the 'ChatGPT prompt dataset' to predict labels ranging from 0 to 7 for a given text. The evaluation metric specified is accuracy, and the data modality involved is text. There's no explicit mention of user expertise, but the task suggests a medium level of understanding in machine learning. The description and details provided match closely with the instruction, with some assumptions made due to the lack of specificity in certain areas, such as the exact performance metric values."",
        ""score"": 0.85
    }
}",2
text classification,"You are solving this machine learning tasks of text classification: 
The dataset presented here (the DAIGT dataset) comprises a series of texts. Given the text, your task is to identify whether it is generated by an AI, with 0 as human and 1 as AI. The evaluation metric is accuracy.
Now train a language model to get a good performance. ","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""natural language processing"",
        ""downstream_task"": ""text classification"",
        ""application_domain"": ""machine learning"",
        ""description"": ""Identify whether a text is generated by an AI or a human. 0 represents human-generated text, and 1 represents AI-generated text."",
        ""performance_metrics"": [
            {
                ""name"": ""accuracy"",
                ""value"": null
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""DAIGT dataset"",
            ""modality"": [""text""],
            ""target_variables"": [""generated_by_AI""],
            ""specification"": null,
            ""description"": ""A series of texts to identify if generated by an AI or a human."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""user-upload""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": """",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A language model to classify texts as AI-generated or human-generated.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The JSON structure is crafted based on the provided instruction, adhering to the structure outlined in the schema files. The intent is 'build' as the task involves creating a model. Expertise level is assumed 'medium' as the task requires some knowledge of ML. The problem area is 'natural language processing', with 'text classification' as the downstream task. The DAIGT dataset and the goal of identifying AI vs. human-generated text are clearly defined. A neural network is suggested as a suitable model type for this kind of text classification task, though specific model details are not given. Accuracy is the chosen performance metric as per the instruction, with no specific target value provided. This structure should meet the requirements for initiating a project to solve the given task."",
        ""score"": 0.9
    }
}",2
text classification,"You are solving this machine learning tasks of text classification: 
The dataset presented here (the Textual Entailment) comprises a series of labeled text pairs. Given two texts, your task is to predict the relationship of the text pair of neutral (0), contradiction (1) or entailment (2). The evaluation metric is accuracy.
Now train a language model to get a good performance. ","{
  ""user"": {
    ""intent"": ""build"",
    ""expertise"": ""medium""
  },
  ""problem"": {
    ""area"": ""natural language processing"",
    ""downstream_task"": ""text classification"",
    ""application_domain"": ""textual analysis"",
    ""description"": ""Predict the relationship of text pairs as neutral, contradiction, or entailment."",
    ""performance_metrics"": [
      {
        ""name"": ""accuracy"",
        ""value"": null
      }
    ],
    ""complexity_metrics"": []
  },
  ""dataset"": [
    {
      ""name"": ""Textual Entailment"",
      ""modality"": [
        ""text""
      ],
      ""target_variables"": [
        ""relationship""
      ],
      ""specification"": null,
      ""description"": ""A series of labeled text pairs to predict their relationship."",
      ""preprocessing"": [],
      ""augmentation"": [],
      ""visualization"": [],
      ""source"": ""user-upload""
    }
  ],
  ""model"": [
    {
      ""name"": """",
      ""family"": """",
      ""type"": ""neural networks"",
      ""specification"": null,
      ""description"": ""A language model to classify text pairs into categories of neutral, contradiction, or entailment.""
    }
  ],
  ""knowledge"": [],
  ""service"": {
    ""feature_engineering"": [],
    ""target_device"": """",
    ""deployment_endpoint"": """",
    ""inference_engine"": [],
    ""demonstration"": null
  },
  ""confidence"": {
    ""rationale"": ""The JSON structure has been filled out based on the instruction provided. It is assumed that the user's intent is to build a model for text classification in the NLP area, focusing on textual entailment. Medium expertise is inferred as the task requires understanding of specific NLP tasks. The dataset name and task are explicitly mentioned, making them straightforward to include. The choice of 'neural networks' as model type is based on the common approach to such NLP tasks. The absence of specific metrics values, dataset specifications, and model details are noted; these would ideally be specified for a more detailed plan."",
    ""score"": 0.9
  }
}",2
text classification,"You are solving this machine learning tasks of text classification: 
The dataset presented here (the WebMD Review dataset) comprises a series of textual reviews. Given the text, your task is to identify whether it is positive, with 0 as negative and 1 as positive. The evaluation metric is accuracy.
Now train a language model to get a good performance. ","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""natural language processing"",
        ""downstream_task"": ""text classification"",
        ""application_domain"": ""healthcare"",
        ""description"": ""The task involves training a language model to classify textual reviews from the WebMD Review dataset as either positive or negative based on the content of the reviews. The goal is to accurately categorize the sentiment of each review."",
        ""performance_metrics"": [
            {
                ""name"": ""accuracy"",
                ""value"": null
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""WebMD Review dataset"",
            ""modality"": [
                ""text""
            ],
            ""target_variables"": [],
            ""specification"": null,
            ""description"": ""A series of textual reviews that need to be classified into positive or negative categories."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""user-upload""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": """",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A language model that will be trained to classify the reviews into positive or negative.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": """"
    },
    ""confidence"": {
        ""rationale"": ""The JSON structure has been filled out following the provided template and based on the instructions given. The user's intent is to build a model, indicated by the instruction to train a language model. The problem area and downstream task have been specified as NLP and text classification, respectively, which aligns with the task of sentiment analysis of text reviews. The dataset and model sections are completed based on the instructions, focusing on the requirement to use a language model for classifying text from the WebMD Review dataset. The performance metric specified is accuracy, as it's directly mentioned. Some fields have been left empty or with null values where the instruction does not provide specific details, such as the exact performance metric value or model specifications."",
        ""score"": 0.9
    }
}",2
text classification,"We need a solution for detecting spam messages within the SMS Spam Collection dataset. Given the nature of our real-time messaging application, the model must be lightweight yet efficient, possibly a streamlined LSTM or GRU architecture. The expected classification accuracy is above 95%, with a latency below 100 milliseconds per message on mobile devices.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""natural language processing"",
        ""downstream_task"": ""text classification"",
        ""application_domain"": ""real-time messaging"",
        ""description"": ""We need a solution for detecting spam messages within the SMS Spam Collection dataset. Given the nature of our real-time messaging application, the model must be lightweight yet efficient, possibly a streamlined LSTM or GRU architecture."",
        ""performance_metrics"": [
            {
                ""name"": ""accuracy"",
                ""value"": 0.95
            }
        ],
        ""complexity_metrics"": [
            {
                ""name"": ""latency"",
                ""value"": 100,
                ""unit"": ""milliseconds""
            }
        ]
    },
    ""dataset"": [
        {
            ""name"": ""SMS Spam Collection"",
            ""modality"": [""text""],
            ""target_variables"": [],
            ""specification"": null,
            ""description"": ""A dataset for spam message detection tasks."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": ""LSTM or GRU"",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A streamlined LSTM or GRU architecture suitable for lightweight and efficient spam message detection in real-time applications.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": ""mobile devices"",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The JSON response is structured based on the provided template and the specific requirements detailed in the instruction. The chosen values and fields accurately reflect the user's request for building a lightweight yet efficient model for spam message detection, with specific performance and complexity metrics. The designation of 'medium' expertise acknowledges the technical nature of the request without assuming in-depth knowledge of neural network architecture. The absence of detailed model specifications is due to the instruction's lack of explicit details, focusing instead on broader model characteristics and desired outcomes."",
        ""score"": 0.95
    }
}",2
text classification,"Our financial news categorization task requires parsing articles from the Reuters-21578 dataset. The objective is to classify articles into various financial topics using a fastText model for its balance of speed and accuracy. An accuracy of 85% is the target, with significant emphasis on minimizing false positives in categories related to market-moving news.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""natural language processing"",
        ""downstream_task"": ""text classification"",
        ""application_domain"": ""financial news categorization"",
        ""description"": ""Our task involves parsing articles from the Reuters-21578 dataset to classify them into various financial topics. We aim to use a fastText model for classification due to its balance of speed and accuracy."",
        ""performance_metrics"": [
            {
                ""name"": ""accuracy"",
                ""value"": 0.85
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""Reuters-21578"",
            ""modality"": [
                ""text""
            ],
            ""target_variables"": [],
            ""specification"": null,
            ""description"": ""The Reuters-21578 dataset contains news articles that need to be parsed and classified into various financial topics."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": ""fastText"",
            ""family"": """",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A fastText model is preferred for its balance of speed and accuracy in classifying text data into categories.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The provided JSON structure accurately reflects the user's instructions, including the intent to build a model (fastText) for classifying financial news articles from the Reuters-21578 dataset into various financial topics. The target performance metric is accurately captured (accuracy of 85%), emphasizing the importance of minimizing false positives in market-moving news categories. The instruction's specificity regarding the dataset and model leaves little room for ambiguity, justifying a high confidence score."",
        ""score"": 1.0
    }
}",2
text classification,"Our project focuses on classifying scientific papers by field and subfield using the arXiv dataset. We're considering a hierarchical attention network (HAN) model due to its ability to capture the nuanced differences between scientific disciplines. We expect at least an 88% F1 score across categories, with additional emphasis on the model's ability to scale and update as new papers are published.","{
  ""user"": {
    ""intent"": ""build"",
    ""expertise"": ""medium""
  },
  ""problem"": {
    ""area"": ""natural language processing"",
    ""downstream_task"": ""text classification"",
    ""application_domain"": ""academic research"",
    ""description"": ""Our project focuses on classifying scientific papers by field and subfield using the arXiv dataset. We're considering a hierarchical attention network (HAN) model due to its ability to capture the nuanced differences between scientific disciplines."",
    ""performance_metrics"": [
      {
        ""name"": ""F1 score"",
        ""value"": 0.88
      }
    ],
    ""complexity_metrics"": []
  },
  ""dataset"": [
    {
      ""name"": ""arXiv"",
      ""modality"": [""text""],
      ""target_variables"": [],
      ""specification"": null,
      ""description"": ""A dataset comprising scientific papers for the purpose of classifying them by field and subfield."",
      ""preprocessing"": [],
      ""augmentation"": [],
      ""visualization"": [],
      ""source"": ""direct-search""
    }
  ],
  ""model"": [
    {
      ""name"": ""Hierarchical Attention Network"",
      ""family"": """",
      ""type"": ""neural networks"",
      ""specification"": null,
      ""description"": ""A model selected for its ability to understand the nuances in scientific papers, which is crucial for accurate classification by fields and subfields.""
    }
  ],
  ""knowledge"": [],
  ""service"": {
    ""feature_engineering"": [],
    ""target_device"": """",
    ""deployment_endpoint"": """",
    ""inference_engine"": [],
    ""demonstration"": null
  },
  ""confidence"": {
    ""rationale"": ""The parsed JSON follows the given instruction closely, considering the intent to build a model, the specified area of interest, and the performance metrics. While the user's expertise is assumed to be medium based on the nature of the request, some assumptions were made regarding the dataset source and the lack of specified complexity metrics, feature engineering steps, and deployment specifics. The choice of model type and the focus on a specific dataset (arXiv) are based directly on the instruction. The absence of detailed specifications for the model and dataset reflects the broad scope of the instruction."",
    ""score"": 0.9
  }
}",2
