task,instruction,response,quality
matrix factorization,"Using the 'Zillow Economics Data' for a project aimed at recommending investment properties, apply Generalized Low Rank Models (GLRM) for matrix factorization. The system should identify high-potential properties based on user investment profiles and market trends, aiming for a high return on investment for our users.",,2
matrix factorization,Create a content recommendation engine for our online news portal using the 'Articles Sharing and Reading' dataset. Opt for Coupled Matrix and Tensor Factorization (CMTF) to take advantage of both content attributes and user interaction data. The model should excel at presenting users with articles that increase page views and session duration.,,2
matrix factorization,"Leverage the 'Steam Video Games' dataset to develop a game recommendation system using Deep Matrix Factorization Models. Focus on personalizing game suggestions based on user playtime patterns, aiming to increase user retention rates. Ensure the system can dynamically adjust to new game releases and user feedback.",,2
matrix factorization,"Our project will focus on enhancing the user experience on our music streaming platform. Use the 'Last.fm Dataset' with Probabilistic Matrix Factorization (PMF) to craft personalized playlist recommendations. Aim for a model that balances accuracy and computational efficiency, with a specific emphasis on reducing the cold start problem for new users.",,2
matrix factorization,"Employ the 'Anime Recommendations' dataset to create a system that suggests anime based on user ratings using Bayesian Personalized Ranking (BPR) matrix factorization. Aim for high precision and recall in the top 10 recommendations, with special attention to reducing the recommendation of niche or low-popularity items to new users.","{
  ""user"": {
    ""intent"": ""build"",
    ""expertise"": ""medium""
  },
  ""problem"": {
    ""area"": ""recommendation systems"",
    ""downstream_task"": ""matrix factorization"",
    ""application_domain"": ""entertainment"",
    ""description"": ""Create a recommendation system for anime based on user ratings employing Bayesian Personalized Ranking (BPR) matrix factorization. Focus on achieving high precision and recall in the top 10 recommendations while minimizing the recommendation of niche or low-popularity items to new users."",
    ""performance_metrics"": [
      {
        ""name"": ""precision@10"",
        ""value"": null
      },
      {
        ""name"": ""recall@10"",
        ""value"": null
      }
    ],
    ""complexity_metrics"": []
  },
  ""dataset"": [
    {
      ""name"": ""Anime Recommendations"",
      ""modality"": [""tabular""],
      ""target_variables"": [],
      ""specification"": null,
      ""description"": ""A dataset containing user ratings for various anime. Used to train a recommendation system to suggest anime based on user preferences."",
      ""preprocessing"": [],
      ""augmentation"": [],
      ""visualization"": [],
      ""source"": ""direct-search""
    }
  ],
  ""model"": [
    {
      ""name"": ""Bayesian Personalized Ranking (BPR)"",
      ""family"": ""matrix factorization"",
      ""type"": ""statistical models"",
      ""specification"": null,
      ""description"": ""A matrix factorization model leveraging Bayesian Personalized Ranking for generating personalized recommendations.""
    }
  ],
  ""knowledge"": [],
  ""service"": {
    ""feature_engineering"": [],
    ""target_device"": """",
    ""deployment_endpoint"": """",
    ""inference_engine"": [""""],
    ""demonstration"": null
  },
  ""confidence"": {
    ""rationale"": ""The JSON structure provided matches the instruction prompt with adjustments to ensure compatibility with the schema's format and to cover all necessary aspects of building a recommendation system using the specified dataset and model approach. Details like precise values for performance metrics are left open as these would depend on the outcomes of model training and evaluation. The focus on reducing the recommendation of niche or low-popularity items, although not explicitly a metric, is implied through the system's design and objective."",
    ""score"": 0.9
  }
}",2
matrix factorization,"I need a recommendation model built on the Yelp dataset, focusing on restaurant suggestions. The model should use Probabilistic Matrix Factorization (PMF) and include user and item bias. Aim for a precision at k (P@K) metric of at least 0.8 for the top 10 recommendations.","{
  ""user"": {
    ""intent"": ""build"",
    ""expertise"": ""medium""
  },
  ""problem"": {
    ""area"": ""recommendation systems"",
    ""downstream_task"": ""matrix factorization"",
    ""application_domain"": ""restaurant recommendations"",
    ""description"": ""Build a recommendation model for restaurant suggestions using the Yelp dataset. The model should leverage Probabilistic Matrix Factorization (PMF) and account for user and item bias."",
    ""performance_metrics"": [
      {
        ""name"": ""precision at 10 (P@10)"",
        ""value"": 0.8
      }
    ],
    ""complexity_metrics"": []
  },
  ""dataset"": [
    {
      ""name"": ""Yelp"",
      ""modality"": [""text"", ""tabular""],
      ""target_variables"": [],
      ""specification"": null,
      ""description"": ""A dataset containing user reviews and ratings for various businesses, focusing on restaurants for this task."",
      ""preprocessing"": [],
      ""augmentation"": [],
      ""visualization"": [],
      ""source"": ""direct-search""
    }
  ],
  ""model"": [
    {
      ""name"": ""Probabilistic Matrix Factorization (PMF) with bias"",
      ""family"": """",
      ""type"": ""statistical models"",
      ""specification"": null,
      ""description"": ""A matrix factorization model that incorporates both user and item biases to provide restaurant recommendations.""
    }
  ],
  ""knowledge"": [],
  ""service"": {
    ""feature_engineering"": [],
    ""target_device"": """",
    ""deployment_endpoint"": """",
    ""inference_engine"": [],
    ""demonstration"": null
  },
  ""confidence"": {
    ""rationale"": ""The JSON structure is strictly based on the provided instruction and templates. It includes all necessary information about the user, the problem domain, dataset, model specifications, and performance goals. The user's intent to build a model, the recommendation systems area, and specific task of matrix factorization with details like using the Yelp dataset for restaurant recommendations are clearly defined. Performance expectations are specified with a P@K metric goal of 0.8. Although the instruction does not provide explicit details on every aspect (e.g., complexity metrics, specific model family), the JSON is filled out to the best interpretation of the given instruction."",
    ""score"": 0.9
  }
}",2
matrix factorization,"For the Coursera course dataset, use Kernelized Matrix Factorization to recommend educational courses to learners. Incorporate user feedback and course completion rates into the model to refine predictions. Aim for a significant improvement in course completion rates as a measure of success.",,2
matrix factorization,"Deploy a Deep Matrix Factorization model on the Spotify song playlist dataset to recommend songs to users. The model should integrate user and song metadata for improved accuracy. Strive for a hit rate of 20% for the top-10 recommended songs. Model interpretability is not a priority, but speed and accuracy are.",,2
matrix factorization,"For our e-commerce website's user-item interaction dataset, implement a Hybrid Matrix Factorization model combining content-based and collaborative filtering techniques. Optimize for both recall@5 and precision@5, with a minimum threshold of 0.25. Your solution must be scalable to accommodate up to 1 million users.",,2
matrix factorization,"For the academic papers dataset from ArXiv, deploy a Co-Clustering based matrix factorization model to recommend articles to researchers. The model should facilitate discovery across interdisciplinary boundaries. Aim for a 10% increase in cross-disciplinary citations as a metric of success.",,2
matrix factorization,"For a gourmet food subscription service, use the 'Recipe Ratings' dataset with matrix factorization to recommend recipes to users. The system should adapt to seasonal ingredient availability and user dietary preferences, aiming for a high user trial rate of new recipes suggested.",,1
matrix factorization,"I need to recommend fashion items using a dataset from an online store. I've heard about using matrix factorization but am unclear on the specifics, like which model is best for this case and how to tell if it's working properly.",,1
