task,instruction,response,quality
tabular classification,"You are solving this data science tasks of multi-label classification: 
The dataset presented here (the Cirrhosis Outcomes Dataset) comprises a lot of both categorical and numerical features. We have splitted the dataset into three parts of train, valid, and test. Your task is to predict the Status_C, Status_D, and Status_CL items, all of which have binary labels with 0 and 1. The evaluation metric is the negative log loss (NLL).
Now train a multi-label classification model to get a good performance on this task.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""tabular data analysis"",
        ""downstream_task"": ""tabular classification"",
        ""application_domain"": ""healthcare"",
        ""description"": ""You are solving this data science tasks of multi-label classification: The dataset presented here (the Cirrhosis Outcomes Dataset) comprises a lot of both categorical and numerical features. We have splitted the dataset into three parts of train, valid, and test. Your task is to predict the Status_C, Status_D, and Status_CL items, all of which have binary labels with 0 and 1. The evaluation metric is the negative log loss (NLL). Now train a multi-label classification model to get a good performance on this task."",
        ""performance_metrics"": [
            {
                ""name"": ""negative log loss"",
                ""value"": null
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""Cirrhosis Outcomes Dataset"",
            ""modality"": [""tabular""],
            ""target_variables"": [""Status_C"", ""Status_D"", ""Status_CL""],
            ""specification"": null,
            ""description"": ""The dataset presented here (the Cirrhosis Outcomes Dataset) comprises a lot of both categorical and numerical features."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""user-upload""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": """",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A multi-label classification model to predict binary labels of Status_C, Status_D, and Status_CL items based on a mix of categorical and numerical features from the Cirrhosis Outcomes Dataset.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The user's intent is identified as 'build' because they aim to construct a model. Their expertise level is assumed to be 'medium' given the specificity of the task described. The problem is classified under 'tabular data analysis' with a 'tabular classification' task, relevant to the healthcare domain. The performance metric specified is 'negative log loss', aligning with the task's evaluation criteria. Dataset details are filled based on the provided description, including its name, modality, target variables, and preprocessing steps. The model type is set to 'neural networks', anticipating the need for a sophisticated approach to handle multi-label classification. No specific feature engineering or deployment details were provided, thus those fields are left minimal. Confidence in the constructed JSON is high due to a clear understanding of the task requirements and adherence to the provided template."",
        ""score"": 0.95
    }
}",2
tabular classification,"You are solving this data science tasks of multi-label classification: 
The dataset presented here (the Enzyme Substrate Dataset) comprises a lot of numerical features. We have splitted the dataset into three parts of train, valid and test. Your task is to predict the EC1 and EC2 item, both of which have binary labels with 0 and 1. The evaluation metric is the area under ROC curve (AUROC).
Now train a multi-label classification model to get a good performance on this task.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""tabular data analysis"",
        ""downstream_task"": ""tabular classification"",
        ""application_domain"": ""bioinformatics"",
        ""description"": ""The task involves predicting the binary labels for EC1 and EC2 items using the Enzyme Substrate Dataset. This dataset is numerical and has been divided into training, validation, and test sets. The objective is to train a multi-label classification model to achieve good performance."",
        ""performance_metrics"": [
            {
                ""name"": ""AUROC"",
                ""value"": null
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""Enzyme Substrate Dataset"",
            ""modality"": [""tabular""],
            ""target_variables"": [""EC1"", ""EC2""],
            ""specification"": null,
            ""description"": ""A dataset consisting of numerical features, split into training, validation, and test sets. It's used for predicting binary labels for EC1 and EC2 items."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""user-upload""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": """",
            ""type"": ""neural networks"",
            ""specification"": null,
            ""description"": ""A multi-label classification model suitable for predicting binary labels on the Enzyme Substrate Dataset.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The JSON structure is filled based on the provided task description. Certain fields like 'name' in 'model' and 'value' in 'performance_metrics' are left null or empty because the specific model to be used or the target performance metric value is not explicitly mentioned. The confidence level reflects the direct mapping from the instruction to the JSON schema without assuming any information not provided in the instruction."",
        ""score"": 0.9
    }
}",2
tabular classification,"You are solving this data science tasks of binary classification: 
The dataset presented here (the Smoker Status Dataset) comprises a lot of numerical features. We have splitted the dataset into three parts of train, valid, and test. Your task is to predict the smoking item, which is a binary label with 0 and 1. The evaluation metric is the area under ROC curve (AUROC).
Now train a binary classification model to get a good performance on this task.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""tabular data analysis"",
        ""downstream_task"": ""tabular classification"",
        ""application_domain"": ""healthcare"",
        ""description"": ""Predict the smoking status of individuals based on numerical features in the Smoker Status Dataset."",
        ""performance_metrics"": [
            {
                ""name"": ""AUROC"",
                ""value"": null
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""Smoker Status Dataset"",
            ""modality"": [""tabular""],
            ""target_variables"": [""smoking item""],
            ""specification"": null,
            ""description"": ""A dataset containing numerical features for the purpose of predicting smoking status, split into train, valid, and test parts."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""user-upload""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": """",
            ""type"": ""classical machine learning"",
            ""specification"": null,
            ""description"": ""A binary classification model to predict smoking status.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The JSON structure is filled out according to the instruction prompt, focusing on building a model for tabular classification within the healthcare domain to predict smoking status. The dataset's description and the problem area are precisely defined. Since specific model details are not provided in the instruction, 'classical machine learning' is selected as a reasonable default for binary classification tasks with numerical features. AUROC is specified as the performance metric without a target value, aligning with the instruction's emphasis on model evaluation. Minor assumptions include the user's expertise level and intent based on the task's nature."",
        ""score"": 0.9
    }
}",2
tabular classification,"You are solving this data science tasks of binary classification: 
The dataset presented here (the Software Defects Dataset) comprises a lot of numerical features. We have splitted the dataset into three parts of train, valid, and test. Your task is to predict the defects item, which is a binary label with 0 and 1. The evaluation metric is the area under ROC curve (AUROC).
Now train a binary classification model to get a good performance on this task.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""tabular data analysis"",
        ""downstream_task"": ""tabular classification"",
        ""application_domain"": ""software engineering"",
        ""description"": ""The task involves predicting binary labels indicating software defects in a dataset with numerous numerical features. The goal is to develop a model that can accurately classify software items as defective or not, using the AUROC metric for evaluation."",
        ""performance_metrics"": [
            {
                ""name"": ""AUROC"",
                ""value"": null
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""Software Defects Dataset"",
            ""modality"": [
                ""tabular""
            ],
            ""target_variables"": [
                ""defects item""
            ],
            ""specification"": null,
            ""description"": ""A dataset containing various numerical features related to software items, intended for binary classification of defects."",
            ""preprocessing"": [],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""user-upload""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": """",
            ""type"": ""classical machine learning"",
            ""specification"": null,
            ""description"": ""A binary classification model aimed at predicting defects in software items based on numerical features.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The JSON representation closely follows the instruction prompt, aligning with the specified areas, tasks, dataset characteristics, and evaluation metrics. It assumes a medium expertise level for the user based on the task complexity. The choice of 'classical machine learning' as the model type is inferred from the context, as specific model types were not mentioned. The confidence in AUROC as a performance metric is high, given its direct mention. The rationale also accounts for ambiguities in model specifications and deployment details, which were not explicitly provided."",
        ""score"": 0.95
    }
}",2
tabular classification,"You are solving this data science tasks of binary classification: 
The dataset presented here (the spaceship dataset) comprises a lot of features, including both numerical and categorical features. Some of the features are missing, with nan value. We have splitted the dataset into three parts of train, valid, and test. Your task is to predict the Transported item, which is a binary label with True and False. The evaluation metric is the classification accuracy.
Now train a binary classification model to get a good performance on this task.","{
  ""user"": {
    ""intent"": ""build"",
    ""expertise"": ""medium""
  },
  ""problem"": {
    ""area"": ""tabular data analysis"",
    ""downstream_task"": ""tabular classification"",
    ""application_domain"": ""space exploration"",
    ""description"": ""The task involves a binary classification problem where the goal is to predict the 'Transported' binary label (True or False) using the spaceship dataset, which includes both numerical and categorical features with some missing values. The dataset has been split into train, valid, and test parts."",
    ""performance_metrics"": [
      {
        ""name"": ""accuracy"",
        ""value"": null
      }
    ],
    ""complexity_metrics"": []
  },
  ""dataset"": [
    {
      ""name"": ""spaceship dataset"",
      ""modality"": [""tabular""],
      ""target_variables"": [""Transported""],
      ""specification"": null,
      ""description"": ""The dataset comprises a variety of features, including numerical and categorical types, and contains missing values (nan). It has been divided into three parts: train, valid, and test."",
      ""preprocessing"": [""handle missing values""],
      ""augmentation"": [],
      ""visualization"": [],
      ""source"": ""user-upload""
    }
  ],
  ""model"": [
    {
      ""name"": """",
      ""family"": """",
      ""type"": ""classical machine learning"",
      ""specification"": null,
      ""description"": ""The model should be a binary classification model capable of handling both numerical and categorical features and dealing with missing values.""
    }
  ],
  ""knowledge"": [],
  ""service"": {
    ""feature_engineering"": [],
    ""target_device"": """",
    ""deployment_endpoint"": """",
    ""inference_engine"": [],
    ""demonstration"": null
  },
  ""confidence"": {
    ""rationale"": ""The JSON structure was created based on the provided instructions and the schema template. The 'intent' is 'build' since the user wants to construct a model. The 'expertise' level is set to 'medium' based on the complexity of the task described. The problem area, dataset details, and model type were chosen based on the specifics of the task, such as tabular data analysis and binary classification. Since no specific performance target or model details were provided, those fields were filled with generic or null values where appropriate. The confidence score is not provided, but the structured information should closely align with the user's request."",
    ""score"": 0.95
  }
}",2
tabular classification,"Run data analysis on sklearn Wine recognition dataset, include a plot, and train a model to predict wine class with 20% as test set, and show prediction accuracy","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""tabular data analysis"",
        ""downstream_task"": ""tabular classification"",
        ""application_domain"": ""wine quality prediction"",
        ""description"": ""Run data analysis on sklearn Wine recognition dataset, include a plot, and train a model to predict wine class with 20% as test set, and show prediction accuracy"",
        ""performance_metrics"": [
            {
                ""name"": ""accuracy"",
                ""value"": null
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""sklearn Wine recognition"",
            ""modality"": [""tabular""],
            ""target_variables"": [""wine class""],
            ""specification"": null,
            ""description"": ""The sklearn Wine recognition dataset is used for training a model to predict wine class."",
            ""preprocessing"": [""split dataset into training and test sets with 20% as test set""],
            ""augmentation"": [],
            ""visualization"": [""include a plot illustrating the dataset""],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": """",
            ""type"": ""classical machine learning"",
            ""specification"": null,
            ""description"": ""A model suitable for tabular classification to predict wine class from the sklearn Wine recognition dataset.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The instruction was parsed following the given JSON schema and template, ensuring all relevant information from the instruction was included. The 'direct-search' source for the dataset was selected because the instruction specifies the sklearn Wine recognition dataset, which is well-known and directly searchable. The 'classical machine learning' model type was chosen due to the tabular nature of the dataset and typical practices in similar tasks. The performance metric of accuracy is specified without a value as the instruction does not provide a specific target value."",
        ""score"": 0.95
    }
}",2
tabular classification,"This is a Titanic passenger survival dataset, and your goal is to predict passenger survival outcomes. The target column is Survived. Perform data analysis, data preprocessing, feature engineering, and modeling to predict the target. Report accuracy on the eval data.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""tabular data analysis"",
        ""downstream_task"": ""tabular classification"",
        ""application_domain"": ""healthcare"",
        ""description"": ""This is a Titanic passenger survival dataset, and your goal is to predict passenger survival outcomes. The target column is Survived. Perform data analysis, data preprocessing, feature engineering, and modeling to predict the target. Report accuracy on the eval data."",
        ""performance_metrics"": [
            {
                ""name"": ""accuracy"",
                ""value"": null
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": ""Titanic passenger survival dataset"",
            ""modality"": [
                ""tabular""
            ],
            ""target_variables"": [
                ""Survived""
            ],
            ""specification"": null,
            ""description"": ""The dataset contains information about Titanic passengers. The goal is to use this data to predict survival outcomes."",
            ""preprocessing"": [
                ""data analysis"",
                ""data preprocessing"", ""feature engineering""
            ],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""direct-search""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": """",
            ""type"": ""classical machine learning"",
            ""specification"": null,
            ""description"": ""A model to predict the survival outcomes of Titanic passengers based on data analysis, preprocessing, and feature engineering.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The instruction is parsed following the provided template, ensuring that each section of the JSON structure is filled out according to the user's instruction. The 'area' is set to 'tabular data analysis' due to the nature of the dataset. The 'downstream_task' is identified as 'tabular classification' since the goal is to classify whether a passenger survived. The 'application_domain' is considered 'healthcare' due to the historical context and relevance to survival analysis. The 'model' section specifies 'classical machine learning' to indicate the expectation of employing conventional ML techniques for this problem. The 'performance_metrics' only specify 'accuracy' as it's directly mentioned to report accuracy on the eval data. Other fields are filled out based on the direct and implied requirements of the instruction. The confidence score is high, assuming that the parsed information closely aligns with the user's instruction."",
        ""score"": 0.95
    }
}",2
tabular classification,"This is a customer’s financial dataset. Your goal is to predict which customers will make a specific transaction in the future. The target column is the target. Perform data analysis, data preprocessing, feature engineering, and modeling to predict the target. Report AUC on the eval data.","{
  ""user"": {
    ""intent"": ""build"",
    ""expertise"": ""medium""
  },
  ""problem"": {
    ""area"": ""tabular data analysis"",
    ""downstream_task"": ""tabular classification"",
    ""application_domain"": ""finance"",
    ""description"": ""Predict which customers will make a specific transaction in the future using a financial dataset. The target variable is 'target'."",
    ""performance_metrics"": [
      {
        ""name"": ""AUC"",
        ""value"": null
      }
    ],
    ""complexity_metrics"": []
  },
  ""dataset"": [
    {
      ""name"": ""customer's financial dataset"",
      ""modality"": [
        ""tabular""
      ],
      ""target_variables"": [
        ""target""
      ],
      ""specification"": null,
      ""description"": ""A dataset containing financial information of customers for predicting future transactions."",
      ""preprocessing"": [
        ""data analysis"",
        ""data preprocessing"", ""feature engineering""
      ],
      ""augmentation"": [],
      ""visualization"": [],
      ""source"": ""user-upload""
    }
  ],
  ""model"": [
    {
      ""name"": """",
      ""family"": """",
      ""type"": ""classical machine learning"",
      ""specification"": null,
      ""description"": ""A model to be built for predicting the likelihood of future transactions by customers based on their financial data.""
    }
  ],
  ""knowledge"": [],
  ""service"": {
    ""feature_engineering"": [],
    ""target_device"": """",
    ""deployment_endpoint"": """",
    ""inference_engine"": [],
    ""demonstration"": null
  },
  ""confidence"": {
    ""rationale"": ""The JSON response accurately reflects the user's instruction to build a model for tabular classification in the finance domain, focusing on predicting future customer transactions. The 'user', 'problem', 'dataset', and 'model' sections are filled out according to the instruction. Some fields are intentionally left null or empty where the instruction does not provide explicit details (e.g., specific models, dataset specifications). This design choice is made to highlight areas where additional information or clarification from the user would be beneficial."",
    ""score"": 0.95
  }
}",2
tabular classification,"This is a medical dataset with over fifty anonymized health characteristics linked to three age-related conditions. Your goal is to predict whether a subject has or has not been diagnosed with one of these conditions. The target column is Class. Perform data analysis, data preprocessing, feature engineering, and modeling to predict the target. Report F1 Score on the eval data.","{
    ""user"": {
        ""intent"": ""build"",
        ""expertise"": ""medium""
    },
    ""problem"": {
        ""area"": ""tabular data analysis"",
        ""downstream_task"": ""tabular classification"",
        ""application_domain"": ""healthcare"",
        ""description"": ""This is a medical dataset with over fifty anonymized health characteristics linked to three age-related conditions. The goal is to predict whether a subject has been diagnosed with one of these conditions."",
        ""performance_metrics"": [
            {
                ""name"": ""F1 Score"",
                ""value"": null
            }
        ],
        ""complexity_metrics"": []
    },
    ""dataset"": [
        {
            ""name"": """",
            ""modality"": [""tabular""],
            ""target_variables"": [""Class""],
            ""specification"": null,
            ""description"": ""A dataset containing over fifty anonymized health characteristics linked to three age-related conditions."",
            ""preprocessing"": [""data analysis"", ""data preprocessing"", ""feature engineering""],
            ""augmentation"": [],
            ""visualization"": [],
            ""source"": ""user-upload""
        }
    ],
    ""model"": [
        {
            ""name"": """",
            ""family"": """",
            ""type"": ""classical machine learning"",
            ""specification"": null,
            ""description"": ""Perform feature engineering and modeling to predict the target variable 'Class'.""
        }
    ],
    ""knowledge"": [],
    ""service"": {
        ""feature_engineering"": [],
        ""target_device"": """",
        ""deployment_endpoint"": """",
        ""inference_engine"": [],
        ""demonstration"": null
    },
    ""confidence"": {
        ""rationale"": ""The JSON structure follows the given instruction closely, capturing the essence of the task as a tabular data analysis problem in the healthcare domain, with a focus on classification. The intent is clearly to build a model, and the user's expertise level is assumed to be medium based on the complexity of the task. The target variable, data modalities, and a broad description of the dataset and model requirements are specified. The performance metric is F1 Score, but the expected value is not provided, hence it's set to null. This JSON is designed to be comprehensive yet flexible, allowing for further specifics to be filled in as the project progresses."",
        ""score"": 0.95
    }
}",2
tabular classification,"Airlines Dataset Inspired in the regression dataset from Elena Ikonomovska. The task is to predict whether a given flight will be delayed, given the information of the scheduled departure.

Columns in the dataset(true feature dtypes listed here, categoricals encoded as int):
Airline (int32): NaN-freq [0.0%], Samples [6, 4, 4, 15, 17, 4, 11, 4, 7, 17]
Flight (float64): NaN-freq [0.0%], Samples [376.0, 2056.0, 1182.0, 1018.0, 1574.0, 1860.0, 2703.0, 2720.0, 6534.0, 223.0]
AirportFrom (float64): NaN-freq [0.0%], Samples [225.0, 39.0, 5.0, 15.0, 4.0, 183.0, 102.0, 65.0, 6.0, 123.0]
AirportTo (float64): NaN-freq [0.0%], Samples [11.0, 7.0, 60.0, 13.0, 41.0, 7.0, 86.0, 5.0, 261.0, 61.0]
DayOfWeek (int32): NaN-freq [0.0%], Samples [4, 3, 1, 1, 3, 4, 2, 0, 1, 4]
Time (float64): NaN-freq [0.0%], Samples [1195.0, 735.0, 1198.0, 1138.0, 1005.0, 1050.0, 1375.0, 981.0, 686.0, 375.0]
Length (float64): NaN-freq [0.0%], Samples [30.0, 130.0, 166.0, 200.0, 270.0, 130.0, 59.0, 83.0, 100.0, 95.0]
Delay (category): NaN-freq [0.0%], Samples [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]

Number of samples (rows) in training dataset: 1500
    
Please generate additional columns that are useful for a downstream classification algorithm (such as XGBoost) predicting ""Delay"".
Additional columns add new semantic information, that is they use real world knowledge on the dataset. They can e.g. be feature combinations, transformations, aggregations where the new column is a function of the existing columns.
The scale of columns and offset does not matter. Make sure all used columns exist. Follow the above description of columns closely and consider the datatypes and meanings of classes.
Please also drops columns, if these may be redundant and hurt the predictive performance of the downstream classifier (Feature selection). Dropping columns may help as the chance of overfitting is lower, especially if the dataset is small.
The classifier will be trained on the dataset with the generated columns and evaluated on a holdout set. The evaluation metric is accuracy. The best performing features will be selected.","{
  ""user"": {
    ""intent"": ""build"",
    ""expertise"": ""high""
  },
  ""problem"": {
    ""area"": ""tabular data analysis"",
    ""downstream_task"": ""tabular classification"",
    ""application_domain"": ""aviation"",
    ""description"": ""Predict flight delays based on scheduled departure information using a regression dataset inspired by Elena Ikonomovska. Requires generating new columns for a classification algorithm and selecting the best performing features."",
    ""performance_metrics"": [
      {
        ""name"": ""accuracy"",
        ""value"": null
      }
    ],
    ""complexity_metrics"": []
  },
  ""dataset"": [
    {
      ""name"": ""Airlines Dataset"",
      ""modality"": [""tabular""],
      ""target_variables"": [""Delay""],
      ""specification"": {""number_of_samples"": 1500},
      ""description"": ""A dataset containing information about flights, including airlines, flight number, airports, day of the week, scheduled time, length, and whether the flight was delayed."",
      ""preprocessing"": [],
      ""augmentation"": [],
      ""visualization"": [],
      ""source"": ""user-upload""
    }
  ],
  ""model"": [
    {
      ""name"": """",
      ""family"": """",
      ""type"": ""classical machine learning"",
      ""specification"": null,
      ""description"": ""The model will use XGBoost for classification to predict flight delays.""
    }
  ],
  ""knowledge"": [],
  ""service"": {
    ""feature_engineering"": [
      ""feature generation"",
      ""feature selection""
    ],
    ""target_device"": """",
    ""deployment_endpoint"": """",
    ""inference_engine"": [],
    ""demonstration"": null
  },
  ""confidence"": {
    ""rationale"": ""The JSON structure follows the instruction prompt and the schema template closely, providing a detailed breakdown of the problem, dataset, and model requirements. It specifies a focus on tabular data analysis for a classification task within the aviation domain, aiming to predict flight delays. Feature engineering techniques are outlined as a key step in preparing the dataset for the XGBoost classifier. The confidence score is high due to a clear understanding of the requirements and objectives stated in the instruction prompt."",
    ""score"": 1.0
  }
}",2
